CSV CAN data
Converted from Kvaser Memorator at,2026-04-17 13:47:54
                                                        
Format of data field,HEX
Format of id field,HEX
Timestamp Offset,            0.000000,seconds
Logging started at,2026-04-17 13:47:31
Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter
8.325310,1,257,2,8,31,78,e2,0e,df,00,0e,e0,230
8.325570,1,397,2,8,00,00,00,00,00,3c,00,00,231
8.330050,1,217,2,8,00,03,ff,00,7f,ff,00,30,232
8.330310,1,4d7,2,8,00,00,00,00,00,00,00,00,233
8.332010,1,350,2,8,0f,02,00,00,00,7f,00,dd,234
8.332229,1,4c0,2,8,b0,00,00,8a,00,78,5b,7f,235
8.333380,1,45d,2,8,00,75,00,00,01,04,00,44,236
8.338970,1,4dd,2,8,01,00,00,00,00,00,00,00,237
8.340330,1,380,2,8,6e,00,1d,20,9b,19,6e,be,238
8.340590,1,217,2,8,00,03,ff,00,7f,ff,00,30,239
8.340840,1,250,2,8,00,00,00,00,00,00,00,00,240
8.341060,1,257,2,8,31,78,e2,00,df,00,00,e0,241
8.341310,1,337,2,8,0a,00,3e,00,00,00,00,00,242
8.341570,1,397,2,8,00,00,00,00,00,3c,00,00,243
8.341780,1,3b9,2,8,6e,00,85,00,ff,14,80,00,244
8.342040,1,437,2,8,00,00,00,00,13,40,00,00,245
8.342300,1,4d7,2,8,00,00,00,00,00,00,00,00,246
8.342510,1,4f2,2,8,00,00,00,00,00,b6,02,b6,247
8.342760,1,4f4,2,8,00,00,00,00,00,00,00,00,248
8.343019,1,4f7,2,8,80,24,00,80,27,10,da,90,249
8.343230,1,4ff,2,8,00,00,00,00,d5,93,9c,f9,250
8.343529,1,47d,2,8,00,00,00,00,00,01,5c,15,251
8.349080,1,4dd,2,8,01,00,00,00,00,00,00,00,252
8.350190,1,217,2,8,00,0b,ff,00,7f,ff,00,b0,253
8.350400,1,4d7,2,8,00,00,00,00,00,00,00,00,254
8.351979,1,350,2,8,0f,02,00,00,00,7f,00,dd,255
8.355270,1,250,2,8,00,00,00,01,00,00,00,00,256
8.355480,1,257,2,8,31,78,e2,01,df,00,01,e0,257
8.355740,1,397,2,8,00,80,00,00,80,bc,00,98,258
8.359019,1,4dd,2,8,01,00,00,00,00,00,00,00,259
8.360260,1,217,2,8,00,03,ff,00,7f,ff,00,40,260
8.360469,1,380,2,8,6e,00,1d,20,9c,19,6e,4a,261
8.360730,1,3b9,2,8,6e,00,85,00,ff,14,80,00,262
8.360939,1,457,2,8,40,00,09,60,06,12,40,80,263
8.361200,1,477,2,8,1e,69,00,d5,7f,42,02,00,264
8.361409,1,4d7,2,8,02,28,77,12,13,00,9c,09,265
8.361670,1,4fd,2,8,00,00,22,00,00,00,00,00,266
8.363460,1,45d,2,8,00,75,00,00,01,04,00,44,267
8.365119,1,337,2,8,0a,00,3e,00,00,00,00,00,268
8.367080,1,51e,2,8,11,12,00,00,11,00,00,00,269
8.369130,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,270
8.369940,1,501,2,8,11,01,00,00,11,00,00,00,271
8.370279,1,217,2,8,00,03,ff,00,7f,ff,00,40,272
8.370540,1,250,2,8,00,00,00,00,00,00,00,00,273
8.370799,1,257,2,8,31,78,e2,02,df,00,02,e0,274
8.371050,1,397,2,8,00,00,00,00,00,3c,00,00,275
8.371270,1,4d7,2,8,02,28,77,12,13,00,9c,09,276
8.371520,1,53f,2,8,01,01,00,00,00,00,00,00,277
8.372030,1,350,2,8,0f,02,00,00,00,7f,00,dd,278
8.379030,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,279
8.380179,1,217,2,8,00,03,ff,00,7f,ff,00,40,280
8.380440,1,380,2,8,6e,00,1d,20,9d,19,6e,d7,281
8.380649,1,3b9,2,8,6e,00,85,00,6e,14,80,00,282
8.380910,1,4d7,2,8,02,28,77,12,13,00,9c,09,283
8.385130,1,250,2,8,00,00,00,00,00,00,00,00,284
8.385389,1,257,2,8,31,78,e2,03,df,00,03,e0,285
8.385640,1,397,2,8,00,00,00,00,00,3c,00,00,286
8.389139,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,287
8.390250,1,217,2,8,00,0b,ff,00,7f,ff,00,d0,288
8.390510,1,337,2,8,0a,00,3e,00,00,00,00,00,289
8.390720,1,4d7,2,8,05,81,7f,00,00,00,00,00,290
8.391999,1,350,2,8,0f,02,00,00,00,7f,00,dd,291
8.392260,1,4c0,2,8,b0,00,00,8a,00,78,5b,7f,292
8.392469,1,4fa,2,8,00,c1,80,4d,27,10,aa,78,293
8.393450,1,45d,2,8,00,75,00,00,01,04,00,44,294
8.400410,1,380,2,8,6e,00,1d,20,9e,19,6e,6d,295
8.400620,1,217,2,8,00,13,ff,00,7f,ff,00,50,296
8.400880,1,250,2,8,00,00,00,01,00,00,00,00,297
8.401130,1,257,2,8,31,78,e2,04,df,00,04,e0,298
8.401389,1,397,2,8,00,00,00,00,00,3c,80,00,299
8.401600,1,3b9,2,8,6e,00,85,00,6e,14,80,00,300
8.401859,1,457,2,8,40,00,09,60,06,12,40,80,301
8.402070,1,477,2,8,1e,69,00,d5,7f,42,02,00,302
8.402329,1,4d7,2,8,05,81,7f,00,00,00,00,00,303
8.402540,1,4f7,2,8,80,24,00,80,27,10,d5,9a,304
8.402799,1,4fd,2,8,00,00,22,00,00,00,00,00,305
8.403050,1,4ff,2,8,00,00,00,00,d5,93,9c,fa,306
8.409110,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,307
8.410010,1,217,2,8,00,03,ff,00,7f,ff,00,50,308
8.410259,1,4d7,2,8,05,81,7f,00,00,00,00,00,309
8.412010,1,350,2,8,0f,02,00,00,00,7f,00,dd,310
8.415039,1,250,2,8,00,00,00,00,00,00,00,00,311
8.415260,1,257,2,8,31,78,e2,05,df,00,05,e0,312
8.415509,1,337,2,8,0a,c0,3e,00,00,00,00,00,313
8.415770,1,397,2,8,00,00,00,00,00,3c,00,00,314
8.419050,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,315
8.420030,1,217,2,8,00,03,ff,00,7f,ff,00,60,316
8.420290,1,4d7,2,8,05,81,7f,00,00,00,00,00,317
8.420500,1,380,2,8,6e,00,1d,20,9f,19,6e,f0,318
8.420760,1,3b9,2,8,6e,00,85,00,6e,14,80,00,319
8.423489,1,45d,2,8,00,75,00,00,01,04,00,44,320
8.429160,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,321
8.430099,1,217,2,8,00,03,ff,00,7f,ff,00,60,322
8.430360,1,250,2,8,00,00,00,00,00,00,00,00,323
8.430619,1,257,2,8,31,78,e2,06,df,00,06,e0,324
8.430830,1,397,2,8,00,80,00,00,80,bc,00,98,325
8.431080,1,4d7,2,8,05,81,7f,00,00,00,00,00,326
8.432020,1,350,2,8,0f,02,00,00,00,7f,00,dd,327
8.439060,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,328
8.440340,1,217,2,8,00,0b,ff,00,7f,ff,00,f0,329
8.440560,1,337,2,8,0a,00,3e,00,00,00,00,00,330
8.440810,1,380,2,8,6e,00,1d,20,90,19,6e,98,331
8.441030,1,3b9,2,8,6e,00,85,00,6e,14,80,00,332
8.441280,1,457,2,8,40,00,09,60,06,12,40,80,333
8.441500,1,477,2,8,1e,69,00,d5,7f,42,02,00,334
8.441750,1,4d7,2,8,05,81,7f,00,00,00,00,00,335
8.442010,1,4f2,2,8,00,00,00,00,00,b6,02,b6,336
8.442259,1,4f4,2,8,00,00,00,00,00,00,00,00,337
8.442520,1,4fd,2,8,00,00,22,00,00,00,00,00,338
8.445040,1,250,2,8,00,00,00,01,00,00,00,00,339
8.445290,1,257,2,8,31,78,e2,07,df,00,07,e0,340
8.445550,1,397,2,8,00,00,00,00,00,3c,00,00,341
8.449220,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,342
8.450240,1,217,2,8,00,03,ff,00,7f,ff,00,70,343
8.450500,1,4d7,2,8,05,81,7f,00,00,00,00,00,344
8.451990,1,350,2,8,0f,02,00,00,00,7f,00,dd,345
8.452249,1,4c0,2,8,b0,00,00,8a,00,80,5b,7f,346
8.453569,1,45d,2,8,00,75,00,00,01,04,00,44,347
8.459120,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,348
8.460140,1,217,2,8,00,03,ff,00,7f,ff,00,70,349
8.460400,1,250,2,8,00,00,00,00,00,00,00,00,350
8.460649,1,257,2,8,31,80,e2,08,df,00,08,e0,351
8.460870,1,380,2,8,6e,00,1d,20,91,19,6e,05,352
8.461119,1,397,2,8,00,00,00,00,00,3c,00,00,353
8.461380,1,3b9,2,8,6e,00,85,00,6e,14,80,00,354
8.461589,1,4d7,2,8,05,81,7f,00,00,00,00,00,355
8.461850,1,4f7,2,8,80,24,00,00,27,10,55,9a,356
8.462059,1,4ff,2,8,00,00,00,00,d5,93,9c,fa,357
8.465000,1,337,2,8,0a,00,3e,00,00,00,00,00,358
8.469189,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,359
8.469440,1,511,2,8,1e,02,00,00,11,00,00,00,360
8.470170,1,217,2,8,00,43,ff,00,7f,ff,00,00,361
8.470380,1,400,2,8,20,01,00,01,00,02,00,00,362
8.470639,1,405,2,8,00,00,00,00,00,00,00,00,363
8.470890,1,407,2,8,14,00,00,00,00,00,00,00,364
8.471150,1,4d7,2,8,05,81,7f,00,00,00,00,00,365
8.472000,1,350,2,8,0f,02,00,00,00,7f,00,dd,366
8.475030,1,250,2,8,00,00,00,00,00,00,00,00,367
8.475289,1,257,2,8,31,80,e2,09,df,00,09,e0,368
8.475540,1,397,2,8,00,00,00,00,00,3c,00,00,369
8.479130,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,370
8.480190,1,217,2,8,00,0b,ff,00,7f,ff,00,80,371
8.480409,1,457,2,8,40,00,09,60,06,12,40,80,372
8.480660,1,380,2,8,6e,00,1d,20,92,19,6e,bf,373
8.480880,1,3b9,2,8,6e,00,85,00,6e,14,80,00,374
8.481130,1,477,2,8,1e,69,00,d5,7f,42,02,00,375
8.481389,1,4d7,2,8,05,81,7f,00,00,00,00,00,376
